email,title,description,url,scrape_time
leasing@KingsviewMGMT.com,2 BED + 2 BATH CONDO FOR RENT @ TORONTO | AMAZING WALK SCORE |,"  2 Bed/2 Bath,9 Ft Ceiling,Upgraded Kitchen,Backsplash,Granite Counter Tops,Stainless Steel Appliances,Bathrooms,Hardwood Flrs,Tons of Natural Light,Washer/Dryer In Unit,Central HVAC,Conservation View,Balcony,Yonge St and Finch St E,North York,Toronto,Willowdale,Close to Public Transit,TTC,Finch Stn,North York Centre Stn,Go Stn,Hwy 401,DVP,Toronto Public Library,North York Passport Canada Office,St. Johns Rehab at Sunnybrook,Don Valley Golf Course,Bayview Village Shopping Centre,North York General Hospital,Willowdale Animal Hospital,Toronto,Schools,Parks,Supermarkets,Shops,Restaurants,Steakhouses,Bars,Night Clubs,Major Banks,Fitness Centre    Email: leasing@KingsviewMGMT.com  CALL / TEXT : 647-496-1649  5740 Yonge Street, Toronto, Ontario M2M 3T3 Yonge Street and Finch Avenue West  $2,400     UNIT AMENITIES:   2 Bed | 2 Bathroom  Hardwood Floors  Upgraded Kitchen  Upgraded Bathroom  Ensuite Bathroom  Upgraded Backsplash  Upgraded Granite Countertops  Stainless Steel Appliances  Washer/Dryer in Unit  Conservation Views  Central Air Conditioning  Tons of Natural Light  Assigned Parking   Yonge St and Finch St E,North York,Toronto,Willowdale,Close to Public Transit,TTC,Finch Stn,North York Centre Stn,Go Stn,Hwy 401,DVP,Toronto Public Library,North York Passport Canada Office,St. Johns Rehab at Sunnybrook,Don Valley Golf Course,Bayview Village Shopping Centre,North York General Hospital,Willowdale Animal Hospital,Toronto,Schools,Parks,Supermarkets,Shops,Restaurants,Steakhouses,Bars,Night Clubs,Major Banks,Fitness Centre   BUILDING AMENITIES:  Pool  Sauna  Fitness Centre  Outdoor BBQ  Movie Theatre  Party Room  Lounge  Pets Allowed  Visitor Parking Available  24/7 Concierge Service and Security    AVAILABLE IMMEDIATELY!!    FIRST COME FIRST SERVE   2 Bed/2 Bath,9 Ft Ceiling,Upgraded Kitchen,Backsplash,Granite Counter Tops,Stainless Steel Appliances,Bathrooms,Hardwood Flrs,Tons of Natural Light,Washer/Dryer In Unit,Central HVAC,Conservation View,Balcony,Yonge St and Finch St E,North York,Toronto,Willowdale,Close to Public Transit,TTC,Finch Stn,North York Centre Stn,Go Stn,Hwy 401,DVP,Toronto Public Library,North York Passport Canada Office,St. Johns Rehab at Sunnybrook,Don Valley Golf Course,Bayview Village Shopping Centre,North York General Hospital,Willowdale Animal Hospital,Toronto,Schools,Parks,Supermarkets,Shops,Restaurants,Steakhouses,Bars,Night Clubs,Major Banks,Fitness Centre     Available Immediately for Showings/Viewings!!      !! PLEASE CALL or TEXT 647-496-1649 !!     ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bed-2-bath-condo-for-rent-toronto-amazing-walk-score/1509276964,7/16/2020 21:07
ajrental.mississauga@gmail.com,Port Credit – 2 Bedrooms - 1000 sq.ft.with Parking & Balcony,"  Available: IMMEDIATELY
Price: $2100.00 (plus hydro only)
Fully Renovated – 2 Bedrooms – 1000 sq.ft. – 2nd Floor with Balcony
Directly across from Ben Machree Dr. in South Mississauga
	
Port Credit – beautiful 2 Bedroom apartment located in a prestigious community. Close to the GO Train, Rhododendron Gardens and Port Credit Village. Very close to walking and biking trails on Lake Ontario shoreline.  Spectacular 2nd floor apartment with a large balcony, 1000 sq.ft, completely renovated suite in a low-rise apartment located in a tranquil residential area. This beautiful apartment features 2 large bedrooms, huge Living Room, renovated Kitchen and renovated Washroom.  The list of renovations is endless….
-	full–height kitchen cabinets
-	granite counter tops and granite backsplash
-	stainless steel appliances and SS range hood
-	washroom vanity with granite top and new glass shower
-	ceramic floors and baseboards throughout
-	hardwood flooring throughout
-	light fixtures throughout
-	doors and hardware throughout  Also includes:
-	1 parking space
-	1 large storage locker, big enough for storing bikes, etc…
-	Water is included; only pay your hydro on a separate meter
-	Access to laundry onsite
-	Mississauga Transit in front of the building on Lakeshore  Rent this beautifully renovated suite with bright interiors and extra large windows. Fantastic Location - Great for Commuters and Professionals who enjoy the perks of living near the lake and parks! Close to the GO station, and the new Port Credit lakeside district for lots of shopping, cafe and restaurant options. The new Shopper’s Drug Mart with groceries has opened just steps away.  Available IMMEDIATELY - Rent for this 2 bedrooms / 1 bath apartment is $2,100 plus hydro only.  It is very suitable for non-smoking professionals without pets.
Credit reference letters from your bank and employer along with a 1-year lease will be required.  You can respond this ad by:
-	Emailing ajrental.mississauga@gmail.com (fastest response) or
-	Texting/Calling AJ @ 416-684-4000  ",https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/port-credit-2-bedrooms-1000-sq-ft-with-parking-balcony/1512513635,7/16/2020 21:08
rent840montreal@claridgehomes.com,Newly renovated 2 BDR w A/C & balcony on Montreal Road," These rental apartments are locally-owned and operated. Each of these Claridge Rentals include:   Newly renovated units  Exercise room  2 bedrooms  Balcony  Close to transit and downtown  Central air (A/C)  Security buzzer system &amp; 24hr video surveillance  Rent: Starting at $1549.00 /month  Utilities: Tenant pays for separate gas &amp; hydro  Parking: $75.00-$150.00/month  Appliances: fridge, stove &amp; dishwasher included in-unit  Laundry services: Coin-operated washer/dryer on-site (Smart Cards)  Area: 821-850 sq ft     For a virtual tour, please visit us at:https://my.matterport.com/show/?m=hRKRYcotAbJ  For more information contact rent840montreal@claridgehomes.com  Area: 821-850 sq ft   Freshly renovated, bright, open, and stylish, this 2 bedroom apartment at 840 Montreal Road gives you easy access to the charms and amenities of Montreal Road, including shopping and restaurants. Savour your morning coffee on the balcony overlooking the parks and green spaces of Ottawas east end.Relax in the cool, air-conditioned interior of your stylish suite and prepare home-cooked meals in your fully-equipped kitchen with fridge, stove, and dishwasher. Or go for a walk or bike ride in the nearby green spaces of the Aviation Parkway and Ottawa River. Enjoy the convenience of on-site laundry facilities and a fitness room in this pet-friendly, quiet, and secure building with 24hr surveillance. Close to schools, the Montfort Hospital, and La Cité Collégiale, with convenient bus service at your doorstep. Parking is available.  BONUS: First month free, immediate occupancy for $1549/month.  ",https://www.kijiji.ca/v-apartments-condos/ottawa/newly-renovated-2-bdr-w-a-c-balcony-on-montreal-road/1505844318,7/16/2020 21:09
rent840montreal@claridgehomes.com,Newly renovated 1 BDR w A/C & balcony on Montreal Road,"  Locally owned and operated rental apartments. These Claridge rentals include:   Newly renovated units  Exercise room  Central air (A/C)  Balcony  Price: $1375/month  Security buzzer system &amp; 24hr video surveillance  Utilities: Tenant pays for separate gas &amp; hydro  Parking: $75.00-$150.00/month  Appliances: Landlord provides fridge, stove &amp; dishwasher  Laundry services: Coin- operated washer/dryer on-site (Smart Cards)  Area: 650sq ft.  Freshly renovated, bright, open, and stylish, this 1 bedroom apartment at 840 Montreal Road gives you easy access to the charms and amenities of Montreal Road, including shopping and restaurants. Savour your morning coffee on the balcony overlooking the parks and green spaces of Ottawas east end. Relax in the cool, air-conditioned interior of your stylish suite and prepare home-cooked meals in your fully-equipped kitchen with a fridge, stove, and dishwasher. Or go for a walk or bike ride in the nearby green spaces of the Aviation Parkway and Ottawa River. Enjoy the convenience of on-site laundry facilities and a fitness room in this pet-friendly, quiet, and secure building with 24hr surveillance. Close to schools, the Montfort Hospital, and La Cité Collégiale, with convenient bus service at your doorstep.   Parking is available.  August 1st occupancy for $1375/month.   ***To view floorplans click here ---&gt;http://bit.ly/2FFLmtR  For a virtual tour, please visit us at:https://my.matterport.com/show/?m=mFapZrWFRyR  For more info contact rent840montreal@claridgehomes.com  ",https://www.kijiji.ca/v-apartments-condos/ottawa/newly-renovated-1-bdr-w-a-c-balcony-on-montreal-road/1505844338,7/16/2020 21:09
rentstirling@claridgehomes.com,2 BDR Rentals in Heart of Nepean for September 1st!,"  Live in Nepean's hottest new rental building: Stirling Park by Claridge Homes. Explore the vibrant west end in this stunning modern property surrounded by shops, parks, schools, and restaurants. Or stay home and enjoy the pool, gym, lounge, outdoor community terrace, garden area, business room, and other next-level amenities offered in this new building. Close to public transit and Algonquin College, this modern property offers a variety of open-concept floor plans, each featuring spacious kitchens, expansive windows, and private balconies. These condos are designed for the utmost comfort and convenience with full-sized, brand- name appliances, a stackable washer and dryer, and individually controlled heating and cooling. Convenient underground parking and storage are available. Reserve a two-bedroom apartment for September 1st at $2350/month, not including hydro.    For a virtual tour, please visit us at:https://my.matterport.com/show/?m=2cuzdeiM1k4    Call Olu at 613-224-0330  rentstirling@claridgehomes.com    To apply online and view unit availability visit http://bit.ly/2HtI0LV  Rent: 2350  ",https://www.kijiji.ca/v-apartments-condos/ottawa/2-bdr-rentals-in-heart-of-nepean-for-september-1st/1505775961,7/16/2020 21:09
rentals@guelphcityrealty.ca,Gorgeous 2 Bedroom Unit in Historic Downtown!,"  An ideal location for commuters and individuals working in the heart of Guelph. Currently there are two 2 bedroom units available for rent at 48 Carden Street. Each offering views of City Hall and Market Square. The building is just a short walk to GoTransit, public transit and the train station. Each unit comes with one parking spot- a rarity for renting in the downtown core!  Each unit has been tastefully re-modeled with stainless steel appliances (fridge, stove, dishwasher, and over the range micro/fan). Each unit has an updated bathroom  back splash designed to enhance the unique layout to each unit. Each room has its own forced fan heaters, allowing you to better climate control every space.  The building has laundry for your convenience, 24 hr emergency maintenance, security controlled entry to the building as well. If you are interested in moving into the unit part way through the month ask about prorated rent. Please note both units are non-smoking!    Call 519-821-4610 or email rentals@guelphcityrealty.ca to book your showing today as these beautifully apartments will not last long!   Within Unit 302:   This unit features a massive eat-in kitchen with breakfast bar in the kitchen island. Storage space will not be an issue with kitchen as there an amazing pantry! The cream style shaker cabinetry has the self-closure design with brush nickel hardware. A chefs dream kitchen indeed!  The bathroom has white subway tile backsplash and the Tub/shower has an upgraded glass shower door! Each bedroom has the historical old style enlarged windows from the period the building was originally constructed and looks at City Hall and Market square  Living Room: 12 ft 3 in x 11 ft 9 in  Kitchen: 8 ft 5 in x 17 ft 6 in.  Bedroom #1 10ft 9in x 10 ft 10 in  Bedroom #2 9 ft 9 in x 11 ft 6 in  Bathroom: 8 ft 5 in x 5ft  Square footage: 625  ",https://www.kijiji.ca/v-apartments-condos/guelph/gorgeous-2-bedroom-unit-in-historic-downtown/1505830292,7/16/2020 21:10
rentals@guelphcityrealty.ca,2 Bedroom unit in the Old University Area,"  Welcome to 16 James Street West! This tastefully 2 bedroom unit is situated close to the Downtown Core and to the University of Guelph. Ideally located close to shopping, public transit, and recreational parklands and trails, you will instantly adore its charm.  Unit 301 is located in a secured entrance building which will welcome you with ample natural light from the oversized patio doors that lead your own private balcony. Original parquet flooring in living room, dinette, hallway and both bedrooms with complimentary vinyl flooring in the galley kitchen and bathroom. The gorgeous sized bathroom comes with his and hers sinks for easy convenience in the morning routine! This galley kitchen has stainless steel appliances (fridge, stove, over the range microwave/fan) with a single sink and upgrade faucet; white slab cabinetry and white subway backsplash tiles. Interior doors are upgraded with lever style door handles in a brushed nickel finish.  This unit has oversized closets in both bedrooms, linen closet with deep shelving thats ideally located beside the updated bathroom. Storage will not be an issue in this unit!  This building has a secured entrance, laundry facilities on the floor and extra storage for the unit, along with 24 hour emergency services. One parking spot plus utilities are included in the monthly rent. If you are interested in moving in part ways through the month ask about prorated rent.  Call 519-821-4610 or email rentals@guelphcityrealty.ca to book your showing today!  Living room16 ft 5 in x 10 ft 8 in  Dinette7 ft 6 in x 8ft 3 in  Kitchen 7ft 11 in x 7ft 2 in  Master 16 ft 3 in x 10ft 3 in  2nd bedroom 13 ft 9 in x 9 ft 3 in  Bathroom 7 ft 3 in x 9 ft 3 in  Square footage 750  ",https://www.kijiji.ca/v-apartments-condos/guelph/2-bedroom-unit-in-the-old-university-area/1505829084,7/16/2020 21:10
rentals@guelphcityrealty.ca,Available  now 2 bedroom unit in Downtown,"  An ideal location for commuters and individuals working in the heart of Guelph. Currently there are two 2 bedroom units available for rent at 48 Carden Street. Each offering views of City Hall and Market Square. The building is just a short walk to GoTransit, public transit and the train station. Each unit comes with one parking spot- a rarity for renting in the downtown core!  Each unit has been tastefully re-modeled with stainless steel appliances (fridge, stove, dishwasher, and over the range micro/fan). Each unit has an updated bathroom  back splash designed to enhance the unique layout to each unit. Each room has its own forced fan heaters, allowing you to better climate control every space.  The building has laundry for your convenience, 24 hr emergency maintenance, security controlled entry to the building as well. If you are interested in moving into the unit part way through the month ask about prorated rent. Please note both units are non-smoking!  Call 519-821-4610 or email rentals@guelphcityrealty.ca to book your showing today as these beautifully apartments will not last long!   Within Unit 303   As you walk into the unit you are greeted to the kitchen with its cream coloured shaker style cabinets, stainless steel appliances a butcher block Style Island for prep work! This unit has a unique bathroom layout right off the kitchen! One part has a sink and stand up shower stall, the toilet has its own closet with another vanity for privacy!  There a room located within the middle of this unit that can be very versatile in its use. Large transom windows to let light come through from the living room area and a closet included; you can use as a bedroom or home office or, or, or, endless list of possibilities! Living room is located at the front of this unit with two large windows looking over City Hall and Market Square. Beside the living room is a bedroom with a gorgeous oversized window and closet. Original hardwood floors and the high baseboards of the era are beautifully enhancing the modern décor!  Kitchen: 12 ft 7 in x 13 ft 4 in  Bathroom: 7 ft 9 in x 7 ft 5 in  Toitlet 7 ft 8 in x 4 ft 8 in  Bedroom #1 9 ft 9 in x 10 ft 3 in  Living room 19 ft 9 in x 13 ft 4 in  Bedroom #2 9 ft 1 in x 13 ft 1 in  Square footage: 770  ",https://www.kijiji.ca/v-apartments-condos/guelph/available-now-2-bedroom-unit-in-downtown/1505830297,7/16/2020 21:11
rentalsbythebeaches@greenwin.ca,Renovated Bachelor in The Beaches! Pet Friendly,"   1150 &amp; 1200 Kingston Rd., The Beaches  Victoria Park Ave. &amp; Kingston Rd.     Don't forget to ask about our move-in incentive! *Please call for more details.   Join us at our Open House this Saturday, from 10 am - 3 pm! *Limited showing times available. Please call to reserve your spot today!        Monthly rent: $1,635  Utilities: Heat and water included, hydro extra  Parking: $120 per month/indoor    To view our property from the comfort of your own home, use the virtual tour link here! https://my.matterport.com/show/?m=8b8AvW9WZPY     Virtual tours are for illustrative purposes only; exact suite finishes and layouts may vary by availability. *Please call for details.       Healthy Suite Program in place for an added level of protection for you and your family before you move-in!   -Entire suite is fogged with a Health Canada approved disinfectant: Bedrooms(s), Bathroom(s), Living Room, Closet(s), Kitchen  - Microbe shield treatment of the high-touch areas including: All Doorknobs &amp; Handles, Light switches, Taps &amp; Faucets, Kitchen Appliances, Entire Bathroom(s), Balcony/Terrace   Suite Features:       Thorough cleaning of every suite before move-in   Hardwood flooring in the living areas  Ceramic tile in the kitchen and bathroom  Large kitchen with new cupboards  Kitchen stainless-steel appliances included (fridge, stove, dishwasher and microwave)  Modern light fixtures and hardware throughout  Ample in-suite storage  Window coverings      Property Features:       Professional Property Management trained to ensure that your home is clean and safe while confined to your suite    Enhanced cleaning procedures in high traffic areas    Property Vista available at all properties for ease of rental payments, maintenance requests, and communication with Property Management - all accessible from your personal device or online   Pay your rent and submit maintenance requests online using myGreenwin   Professional management staff on-site  On-site laundry facility  On-site bike storage  Professionally landscaped grounds  Pet friendly      Neighbourhood Features:    Neil McNeil High School 0.2 KM  CIBC 0.5 KM  FreshCo 0.9 KM  Toronto Hunt Club 1.3 KM  Balmy Beach 1.5 KM  Victoria Park Subway Station 1.7 KM     To book a tour today, call or email:  (647) 797-4742 rentalsbythebeaches@greenwin.ca    www.greenwin.ca    ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-bachelor-in-the-beaches-pet-friendly/1505826718,7/16/2020 21:12
3000queen@greenwin.ca,Renovated 1 bedroom in The Beaches!,"   3000, 3015 &amp; 3017 Queen St. E., Scarborough (The Beaches)   Queen St. E &amp; Victoria Park Ave.   Don't forget to ask about our move-in incentive! *Please call for more details.       Monthly rent: starting from $1,779  Utilities:  Heat and water included, hydro extra  Parking: $130 per month/indoor OR $104 per month/outdoor  To view our property from the comfort of your own home, use the virtual tour link here!https://my.matterport.com/show/?m=nGEq8CoxQqo     Virtual tours are for illustrative purposes only; exact suite finishes and layouts may vary by availability. *Please call for details.       Healthy Suite Program in place for an added level of protection for you and your family before you move-in!   -Entire suite is fogged with a Health Canada approved disinfectant: Bedrooms(s), Bathroom(s), Living Room, Closet(s), Kitchen  - Microbe shield treatment of the high-touch areas including: All Doorknobs &amp; Handles, Light switches, Taps &amp; Faucets, Kitchen Appliances, Entire Bathroom(s), Balcony/Terrace     Suite Features:       Thorough cleaning of every suite before move-in   Renovated kitchen with dark cabinets, high-end countertops and hardware  Kitchen stainless-steel appliances included (fridge, stove, dishwasher and microwave range hood)  Hardwood flooring in living room and bedroom(s)  Ceramic tile in kitchen and bathroom(s)  Upgraded light fixtures throughout      Property Features:         Professional Property Management trained to ensure that your home is clean and safe while confined to your suite    Enhanced cleaning procedures in high traffic areas    Property Vista available at all properties for ease of rental payments, maintenance requests, and communication with Property Management - all accessible from your personal device or online   Pay your rent and submit maintenance requests online using  myGreenwin   Community Garden  Bike Shelter  Outdoor BBQ area  Professional management staff on-site  Low-rise buildings located in The Beaches  On-site laundry facility  Pet friendly      Neighbourhood Features:      The Balmy Beach Club offers endless activities including a fitness centre, hockey, lawn bowling, paddling, rugby, squash, volleyball and monthly community events  Courcelette Public school is just a 10-minute walk down the street  All major amenities and entertainment are at your doorstep including the Fox Theatre, local cafe's and restaurants, pubs, organic food markets and more  Queen St. East streetcar stop #501 meters away - 15-minute commute to downtown!        Two ways to book an appointment:  1. Call Dusan directly - (647) 797-4755 2. Email Dusan directly 3000queen@greenwin.ca  www.greenwin.ca  ",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-1-bedroom-in-the-beaches/1505826479,7/16/2020 21:12
